Unnamed: 0,0000000000,Student ID,Session 21/09/2023,Session 28/09/2023,Session 05/10/2023,Session 12/10/2023,Session 19/10/2023,Session 26/10/2023,Session 02/11/2023,Session 09/11/2023,Session 16/11/2023,Session 23/11/2023,Session 30/11/2023,Session 07/12/2023,Session 14/12/2023,Session 21/12/2023,sessionsAttended,attendancePercentage,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
22,22,023216904c,P,A,A,A,P,A,A,A,A,A,P,A,A,A,3,21.428571428571427,,2.4,7,,,,,,,,4.1,,,,,,,0,,,,,1,,,,,,,,,,2,,
23,23,0232434610,A,A,A,A,A,A,A,A,P,A,A,A,A,A,1,7.142857142857142,,7.4,6,,,,,,,,2.8,,,,,,,5,,,,,ABS_EXAM,,,,,,,,,,12.2,,
24,24,0231275945,A,P,A,A,A,A,A,P,A,A,P,A,A,A,3,21.428571428571427,,11.5,13,,,,,,,,9.3,,,,,,,15,,,,,6.1,,,,,,,,,,16.2,,
25,25,0231697511,P,P,A,A,A,A,A,A,A,P,A,P,A,A,4,28.57142857142857,,7.1,7,,,,,,,,3.1,,,,,,,11,,,,,6.7,,,,,,,,,,14.5,,
26,26,0232456125,P,A,P,A,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,ABS_EXAM,13,,,,,,,,10,,,,,,,5,,,,,ABS_EXAM,,,,,,,,,,14.3,,
27,27,0232059530,P,P,A,A,A,A,A,A,A,A,P,A,A,A,3,21.428571428571427,,ABS_EXAM,0,,,,,,,,ABS_EXAM,,,,,,,4,,,,,11.4,,,,,,,,,,15.8,,
28,28,023193644e,P,A,A,A,P,A,P,A,A,A,A,P,A,A,4,28.57142857142857,,ABS_EXAM,10,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,ABS_EXAM,,,,,,,,,,ABS_EXAM,,
29,29,023251854f,P,A,P,P,A,A,A,A,P,P,A,A,A,A,5,35.714285714285715,,8.7,5,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,15.6,,
30,30,0230174611,A,A,P,P,P,A,P,A,P,P,P,P,P,P,10,71.42857142857143,,13.8,8.5,,,,,,,,7.8,,,,,,,10,,,,,7.6,,,,,,,,,,16.2,,
31,31,023010972f,P,P,A,A,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,13.7,12.5,,,,,,,,6.3,,,,,,,15,,,,,10.7,,,,,,,,,,16.7,,
32,32,0230204115,P,A,P,P,A,A,A,A,A,A,A,A,P,A,4,28.57142857142857,,16.8,14.5,,,,,,,,14.3,,,,,,,17,,,,,13.6,,,,,,,,,,16,,
33,33,0231973139,A,P,P,A,P,A,A,A,P,P,A,A,A,A,5,35.714285714285715,,18,13,,,,,,,,15.6,,,,,,,19,,,,,15.6,,,,,,,,,,16.3,,
34,34,0230315847,P,A,A,A,P,A,A,A,A,A,P,A,A,A,3,21.428571428571427,,12,8,,,,,,,,8.8,,,,,,,8,,,,,7.4,,,,,,,,,,14.2,,
